t # 0
v 0 11
v 1 17
v 2 6
v 3 5
v 4 12
v 5 19
v 6 17
v 7 10
v 8 19
v 9 11
e 0 1 7
e 0 3 8
e 0 7 19
e 1 2 4
e 1 9 7
e 1 4 5
e 2 4 12
e 2 5 14
e 2 8 14
e 3 9 12
e 4 6 4
e 4 8 5
e 4 9 18
e 6 9 7
t # 1
v 0 8
v 1 19
v 2 6
v 3 18
v 4 12
v 5 19
v 6 12
v 7 14
v 8 14
v 9 8
v 10 9
e 0 1 1
e 0 3 10
e 0 6 14
e 0 10 14
e 0 7 9
e 1 2 14
e 1 4 5
e 1 7 0
e 1 8 0
e 1 9 1
e 1 5 0
e 2 6 13
e 3 5 11
e 3 9 10
e 4 10 12
e 5 9 1
e 6 10 12
e 8 10 15
t # 2
v 0 3
v 1 10
v 2 13
v 3 11
v 4 10
v 5 5
v 6 13
v 7 2
v 8 19
v 9 15
v 10 0
e 0 1 9
e 0 2 1
e 0 3 17
e 0 4 9
e 0 5 1
e 1 5 4
e 1 8 12
e 2 5 14
e 2 7 11
e 2 8 10
e 3 4 4
e 3 10 1
e 4 9 14
e 4 5 4
e 5 6 14
e 6 8 10
e 6 7 11
t # 3
v 0 10
v 1 12
v 2 11
v 3 9
v 4 8
v 5 0
v 6 17
v 7 2
v 8 9
v 9 7
e 0 1 1
e 0 2 4
e 0 3 3
e 1 3 12
e 1 6 5
e 1 4 14
e 1 2 18
e 2 4 9
e 2 5 1
e 2 9 3
e 4 8 14
e 4 6 6
e 5 9 5
e 6 7 6
t # 4
v 0 1
v 1 8
v 2 9
v 3 12
v 4 15
v 5 1
v 6 9
v 7 16
v 8 7
v 9 5
v 10 14
v 11 3
e 0 1 0
e 0 3 14
e 0 10 9
e 0 2 2
e 1 2 14
e 1 4 10
e 1 5 0
e 1 7 17
e 2 4 18
e 2 5 2
e 3 5 14
e 3 6 12
e 4 6 18
e 5 6 3
e 5 9 19
e 5 10 9
e 6 8 5
e 6 10 15
e 7 11 12
e 7 8 8
e 9 11 1
t # 5
v 0 3
v 1 13
v 2 7
v 3 5
v 4 8
v 5 9
v 6 11
v 7 11
v 8 2
v 9 3
e 0 1 1
e 0 6 6
e 0 7 17
e 0 3 1
e 1 2 11
e 1 3 14
e 1 4 15
e 1 8 11
e 2 5 16
e 2 8 3
e 2 6 3
e 4 6 9
e 6 9 6
e 7 9 6
t # 6
v 0 2
v 1 17
v 2 0
v 3 15
v 4 11
v 5 3
v 6 16
v 7 10
v 8 17
v 9 4
v 10 17
e 0 1 6
e 0 2 11
e 0 3 3
e 0 8 9
e 0 10 9
e 1 6 5
e 1 5 13
e 1 3 18
e 2 4 1
e 2 6 17
e 3 10 2
e 3 8 18
e 4 5 9
e 4 7 4
e 4 8 7
e 5 9 16
e 5 8 13
e 5 7 9
e 5 6 12
e 6 8 5
t # 7
v 0 5
v 1 11
v 2 3
v 3 3
v 4 10
v 5 10
v 6 4
v 7 3
v 8 17
v 9 4
v 10 11
e 0 1 12
e 0 4 4
e 0 5 4
e 0 10 12
e 1 2 9
e 1 3 9
e 1 4 4
e 2 6 19
e 3 8 13
e 3 9 16
e 3 4 9
e 4 7 9
e 5 7 9
e 6 7 16
e 7 10 17
e 7 9 16
e 7 8 13
t # 8
v 0 4
v 1 12
v 2 7
v 3 9
v 4 7
v 5 13
v 6 8
v 7 4
v 8 19
v 9 18
v 10 18
v 11 14
e 0 1 4
e 0 2 12
e 0 8 15
e 0 5 9
e 0 11 3
e 0 9 16
e 0 4 12
e 1 3 12
e 2 3 17
e 2 7 12
e 3 4 16
e 3 6 14
e 4 5 11
e 4 7 12
e 5 7 9
e 5 6 15
e 5 8 10
e 6 9 10
e 6 8 1
e 6 10 10
e 7 10 3
e 8 11 0
e 10 11 6
t # 9
v 0 3
v 1 17
v 2 11
v 3 11
v 4 8
v 5 3
v 6 9
v 7 12
v 8 7
v 9 1
e 0 1 13
e 0 2 6
e 0 3 6
e 1 2 7
e 1 3 7
e 1 4 6
e 2 7 18
e 3 5 6
e 3 4 9
e 4 6 14
e 6 7 12
e 6 8 17
e 6 9 2
e 7 9 14
t # 10
v 0 8
v 1 13
v 2 2
v 3 15
v 4 17
v 5 4
v 6 0
v 7 1
v 8 2
v 9 13
v 10 13
v 11 14
v 12 19
v 13 9
e 0 1 15
e 0 7 0
e 0 13 14
e 0 10 15
e 0 12 1
e 0 11 9
e 0 3 10
e 1 2 11
e 1 5 14
e 1 8 11
e 1 12 10
e 1 10 14
e 1 7 10
e 2 3 3
e 2 4 9
e 2 6 12
e 2 9 11
e 2 7 11
e 4 8 6
e 5 9 9
e 5 10 9
e 6 11 4
e 6 12 16
e 7 11 9
e 8 10 11
e 9 12 10
e 9 10 14
e 11 13 15
e 11 12 0
t # 11
v 0 0
v 1 2
v 2 17
v 3 8
v 4 2
v 5 13
v 6 11
v 7 11
v 8 7
v 9 9
v 10 15
v 11 3
e 0 1 12
e 0 6 1
e 0 7 1
e 0 8 5
e 1 2 6
e 1 10 3
e 1 4 3
e 2 3 6
e 2 4 9
e 2 7 7
e 2 11 13
e 2 6 7
e 3 5 15
e 3 10 10
e 3 7 9
e 4 8 3
e 4 10 3
e 5 11 1
e 6 7 7
e 6 8 3
e 7 11 6
e 8 9 5
t # 12
v 0 14
v 1 18
v 2 18
v 3 14
v 4 0
v 5 4
v 6 19
v 7 18
v 8 18
v 9 19
v 10 19
v 11 11
v 12 4
e 0 1 6
e 0 2 19
e 0 7 19
e 0 11 5
e 0 3 6
e 1 3 6
e 1 5 16
e 1 6 11
e 1 12 16
e 2 5 16
e 2 8 19
e 2 6 16
e 2 12 16
e 3 4 4
e 3 10 1
e 3 8 19
e 3 11 5
e 4 10 16
e 4 11 1
e 5 9 8
e 5 8 16
e 5 10 15
e 6 8 11
e 6 10 0
e 6 12 15
e 7 8 19
e 7 12 16
t # 13
v 0 1
v 1 10
v 2 5
v 3 1
v 4 11
v 5 6
v 6 19
v 7 1
v 8 18
v 9 4
e 0 1 7
e 0 2 19
e 0 5 11
e 1 3 7
e 1 6 12
e 1 4 4
e 1 7 7
e 2 4 8
e 2 3 19
e 2 7 19
e 5 7 11
e 5 6 14
e 6 8 16
e 8 9 16
t # 14
v 0 8
v 1 13
v 2 5
v 3 11
v 4 3
v 5 5
v 6 1
v 7 5
v 8 10
v 9 11
e 0 1 15
e 1 2 14
e 1 4 1
e 1 7 14
e 1 6 10
e 1 5 14
e 2 3 8
e 2 6 19
e 2 8 4
e 2 9 12
e 3 5 12
e 4 9 6
e 4 7 1
e 6 7 19
e 8 9 19
t # 15
v 0 3
v 1 10
v 2 5
v 3 10
v 4 10
v 5 1
v 6 5
v 7 3
v 8 13
v 9 9
v 10 3
v 11 3
e 0 1 9
e 0 2 1
e 0 8 1
e 1 9 3
e 2 3 4
e 2 4 4
e 2 8 14
e 2 10 1
e 2 6 14
e 3 11 9
e 3 4 3
e 3 5 7
e 3 10 9
e 4 5 7
e 4 6 4
e 4 10 9
e 4 11 9
e 5 9 2
e 6 7 1
e 6 10 1
e 7 10 13
e 10 11 13
t # 16
v 0 2
v 1 13
v 2 17
v 3 15
v 4 6
v 5 8
v 6 2
v 7 15
v 8 8
v 9 12
v 10 0
e 0 1 11
e 0 2 6
e 0 3 3
e 1 8 15
e 2 4 4
e 2 5 6
e 2 7 18
e 2 9 5
e 2 3 18
e 3 6 3
e 3 7 18
e 4 9 13
e 5 9 14
e 5 7 10
e 6 10 12
e 6 7 3
e 7 8 10
e 8 9 14
t # 17
v 0 7
v 1 9
v 2 1
v 3 2
v 4 15
v 5 11
v 6 8
v 7 0
v 8 2
e 0 1 5
e 0 2 5
e 0 3 3
e 0 5 3
e 1 6 14
e 1 2 2
e 3 4 9
e 3 7 11
e 5 6 9
e 5 7 1
e 7 8 12
t # 18
v 0 10
v 1 19
v 2 5
v 3 14
v 4 15
v 5 10
v 6 13
v 7 8
v 8 10
v 9 12
v 10 2
v 11 17
v 12 19
v 13 11
e 0 1 12
e 0 2 4
e 0 4 14
e 0 13 4
e 0 8 3
e 1 3 0
e 1 6 10
e 1 7 1
e 1 12 0
e 1 8 12
e 2 13 12
e 2 5 4
e 2 6 14
e 3 7 9
e 3 12 0
e 4 5 14
e 4 8 14
e 4 10 9
e 4 11 18
e 5 12 12
e 5 8 3
e 6 7 15
e 7 12 1
e 7 9 14
e 7 13 9
e 8 9 1
e 8 13 19
e 9 12 5
e 11 13 7
t # 19
v 0 14
v 1 16
v 2 8
v 3 16
v 4 14
v 5 16
v 6 17
v 7 18
v 8 14
v 9 18
v 10 16
v 11 17
e 0 1 10
e 0 3 10
e 0 2 9
e 0 5 6
e 1 2 17
e 1 10 6
e 1 6 5
e 1 3 6
